table_name,foreignkeys,column_name,column_type,length
company,,name,String,50
,,,,
cpu_family,company,name,String,50
,,,,
cpu_model,cpu_family,name,String,50
,,,,
cpu_socket,,name,String,50
,,year_of_introduction,DateTime,
,,package,String,20
,,pin_count,Integer,
,,pin_pitch,Float,
,,bus_speed,String,20
,,,,
,,,,
cpu,"cpu_model,cpu_socket",name,String,50
,,frequency,Integer,
,,l2_cache,Integer,
,,front_side_bus,Integer,
,,clock_multiplier,Integer,
,,voltage_range,String,20
,,tdp,Float,
,,release_date,DateTime,
,,release_price,Integer,
,,,,
cpu_partnumber,cpu,content,String,100
,,,,
cpu_sspec_number,cpu,content,String,100
